frequency,left_tail_multiplier,log_scale,perc_c_1,perc_c_2,perc_c_3,perc_c_4,perc_c_5,perc_p_1,perc_p_2,perc_p_3,perc_p_4,perc_p_5,perc_s_1,perc_s_2,perc_s_3,perc_s_4,perc_s_5,perc_s_6,right_tail_multiplier
710,0.0,True,100.0,45.0,13.043478260869565,30.0,73.91304347826087,10.0,100.0,0.0,0,80.95238095238095,100.0,100.0,0,100.0,8.695652173913043,100.0,0.0
710,0.0,True,100.0,60.0,17.391304347826086,55.0,78.26086956521739,10.0,100.0,0.0,0,80.95238095238095,100.0,100.0,0,100.0,8.695652173913043,100.0,0.1
710,0.0,True,100.0,90.0,34.78260869565217,80.0,78.26086956521739,10.0,100.0,0.0,0,80.95238095238095,100.0,100.0,0,100.0,8.695652173913043,100.0,0.3
710,0.0,True,100.0,100.0,56.52173913043478,100.0,82.6086956521739,10.0,100.0,0.0,0,80.95238095238095,100.0,5.0,0,100.0,8.695652173913043,95.45454545454545,0.6
710,0.0,True,100.0,100.0,86.95652173913044,100.0,91.30434782608695,10.0,100.0,0.0,0,80.95238095238095,100.0,0.0,0,100.0,8.695652173913043,77.27272727272727,0.9
710,0.0,False,100.0,45.0,13.043478260869565,30.0,73.91304347826087,10.0,100.0,0.0,0,80.95238095238095,100.0,100.0,0,100.0,8.695652173913043,100.0,0.0
710,0.0,False,100.0,60.0,17.391304347826086,55.0,78.26086956521739,10.0,100.0,0.0,0,80.95238095238095,100.0,100.0,0,100.0,8.695652173913043,100.0,0.1
710,0.0,False,100.0,90.0,34.78260869565217,80.0,78.26086956521739,10.0,100.0,0.0,0,80.95238095238095,100.0,100.0,0,100.0,8.695652173913043,100.0,0.3
710,0.0,False,100.0,100.0,56.52173913043478,100.0,82.6086956521739,10.0,100.0,0.0,0,80.95238095238095,100.0,5.0,0,100.0,8.695652173913043,95.45454545454545,0.6
710,0.0,False,100.0,100.0,86.95652173913044,100.0,91.30434782608695,10.0,100.0,0.0,0,80.95238095238095,100.0,0.0,0,100.0,8.695652173913043,77.27272727272727,0.9
710,0.1,True,100.0,45.0,13.043478260869565,30.0,73.91304347826087,10.0,100.0,0.0,0,90.47619047619048,100.0,100.0,0,100.0,4.3478260869565215,100.0,0.0
710,0.1,True,100.0,60.0,17.391304347826086,55.0,78.26086956521739,10.0,100.0,0.0,0,90.47619047619048,100.0,100.0,0,100.0,4.3478260869565215,100.0,0.1
710,0.1,True,100.0,90.0,34.78260869565217,80.0,78.26086956521739,10.0,100.0,0.0,0,90.47619047619048,100.0,100.0,0,100.0,4.3478260869565215,100.0,0.3
710,0.1,True,100.0,100.0,56.52173913043478,100.0,82.6086956521739,10.0,100.0,0.0,0,90.47619047619048,100.0,5.0,0,100.0,4.3478260869565215,95.45454545454545,0.6
710,0.1,True,100.0,100.0,86.95652173913044,100.0,91.30434782608695,10.0,100.0,0.0,0,90.47619047619048,100.0,0.0,0,100.0,4.3478260869565215,77.27272727272727,0.9
710,0.1,False,100.0,45.0,13.043478260869565,30.0,73.91304347826087,10.0,100.0,0.0,0,90.47619047619048,100.0,100.0,0,100.0,4.3478260869565215,100.0,0.0
710,0.1,False,100.0,60.0,17.391304347826086,55.0,78.26086956521739,10.0,100.0,0.0,0,90.47619047619048,100.0,100.0,0,100.0,4.3478260869565215,100.0,0.1
710,0.1,False,100.0,90.0,34.78260869565217,80.0,78.26086956521739,10.0,100.0,0.0,0,90.47619047619048,100.0,100.0,0,100.0,4.3478260869565215,100.0,0.3
710,0.1,False,100.0,100.0,56.52173913043478,100.0,82.6086956521739,10.0,100.0,0.0,0,90.47619047619048,100.0,5.0,0,100.0,4.3478260869565215,95.45454545454545,0.6
710,0.1,False,100.0,100.0,86.95652173913044,100.0,91.30434782608695,10.0,100.0,0.0,0,90.47619047619048,100.0,0.0,0,100.0,4.3478260869565215,77.27272727272727,0.9
710,0.3,True,100.0,45.0,13.043478260869565,30.0,73.91304347826087,40.0,100.0,0.0,0,100.0,100.0,100.0,0,100.0,0.0,90.9090909090909,0.0
710,0.3,True,100.0,60.0,17.391304347826086,55.0,78.26086956521739,40.0,100.0,0.0,0,100.0,100.0,100.0,0,100.0,0.0,90.9090909090909,0.1
710,0.3,True,100.0,90.0,34.78260869565217,80.0,78.26086956521739,40.0,100.0,0.0,0,100.0,100.0,100.0,0,100.0,0.0,90.9090909090909,0.3
710,0.3,True,100.0,100.0,56.52173913043478,100.0,82.6086956521739,40.0,100.0,0.0,0,100.0,100.0,5.0,0,100.0,0.0,86.36363636363636,0.6
710,0.3,True,100.0,100.0,86.95652173913044,100.0,91.30434782608695,40.0,100.0,0.0,0,100.0,100.0,0.0,0,100.0,0.0,68.18181818181819,0.9
710,0.3,False,100.0,45.0,13.043478260869565,30.0,73.91304347826087,40.0,100.0,0.0,0,100.0,100.0,100.0,0,100.0,0.0,90.9090909090909,0.0
710,0.3,False,100.0,60.0,17.391304347826086,55.0,78.26086956521739,40.0,100.0,0.0,0,100.0,100.0,100.0,0,100.0,0.0,90.9090909090909,0.1
710,0.3,False,100.0,90.0,34.78260869565217,80.0,78.26086956521739,40.0,100.0,0.0,0,100.0,100.0,100.0,0,100.0,0.0,90.9090909090909,0.3
710,0.3,False,100.0,100.0,56.52173913043478,100.0,82.6086956521739,40.0,100.0,0.0,0,100.0,100.0,5.0,0,100.0,0.0,86.36363636363636,0.6
710,0.3,False,100.0,100.0,86.95652173913044,100.0,91.30434782608695,40.0,100.0,0.0,0,100.0,100.0,0.0,0,100.0,0.0,68.18181818181819,0.9
710,0.6,True,100.0,45.0,13.043478260869565,30.0,73.91304347826087,90.0,100.0,47.61904761904762,0,100.0,68.18181818181819,100.0,0,65.0,0.0,59.09090909090909,0.0
710,0.6,True,100.0,60.0,17.391304347826086,55.0,78.26086956521739,90.0,100.0,47.61904761904762,0,100.0,68.18181818181819,100.0,0,65.0,0.0,59.09090909090909,0.1
710,0.6,True,100.0,90.0,34.78260869565217,80.0,78.26086956521739,90.0,100.0,47.61904761904762,0,100.0,68.18181818181819,100.0,0,65.0,0.0,59.09090909090909,0.3
710,0.6,True,100.0,100.0,56.52173913043478,100.0,82.6086956521739,90.0,100.0,47.61904761904762,0,100.0,68.18181818181819,5.0,0,65.0,0.0,54.54545454545455,0.6
710,0.6,True,100.0,100.0,86.95652173913044,100.0,91.30434782608695,90.0,100.0,47.61904761904762,0,100.0,68.18181818181819,0.0,0,65.0,0.0,36.36363636363637,0.9
710,0.6,False,100.0,45.0,13.043478260869565,30.0,73.91304347826087,90.0,100.0,47.61904761904762,0,100.0,68.18181818181819,100.0,0,65.0,0.0,59.09090909090909,0.0
710,0.6,False,100.0,60.0,17.391304347826086,55.0,78.26086956521739,90.0,100.0,47.61904761904762,0,100.0,68.18181818181819,100.0,0,65.0,0.0,59.09090909090909,0.1
710,0.6,False,100.0,90.0,34.78260869565217,80.0,78.26086956521739,90.0,100.0,47.61904761904762,0,100.0,68.18181818181819,100.0,0,65.0,0.0,59.09090909090909,0.3
710,0.6,False,100.0,100.0,56.52173913043478,100.0,82.6086956521739,90.0,100.0,47.61904761904762,0,100.0,68.18181818181819,5.0,0,65.0,0.0,54.54545454545455,0.6
710,0.6,False,100.0,100.0,86.95652173913044,100.0,91.30434782608695,90.0,100.0,47.61904761904762,0,100.0,68.18181818181819,0.0,0,65.0,0.0,36.36363636363637,0.9
710,0.9,True,100.0,45.0,13.043478260869565,30.0,73.91304347826087,100.0,100.0,100.0,0,100.0,0.0,100.0,0,25.0,0.0,40.90909090909091,0.0
710,0.9,True,100.0,60.0,17.391304347826086,55.0,78.26086956521739,100.0,100.0,100.0,0,100.0,0.0,100.0,0,25.0,0.0,40.90909090909091,0.1
710,0.9,True,100.0,90.0,34.78260869565217,80.0,78.26086956521739,100.0,100.0,100.0,0,100.0,0.0,100.0,0,25.0,0.0,40.90909090909091,0.3
710,0.9,True,100.0,100.0,56.52173913043478,100.0,82.6086956521739,100.0,100.0,100.0,0,100.0,0.0,5.0,0,25.0,0.0,36.36363636363637,0.6
710,0.9,True,100.0,100.0,86.95652173913044,100.0,91.30434782608695,100.0,100.0,100.0,0,100.0,0.0,0.0,0,25.0,0.0,18.181818181818183,0.9
710,0.9,False,100.0,45.0,13.043478260869565,30.0,73.91304347826087,100.0,100.0,100.0,0,100.0,0.0,100.0,0,25.0,0.0,40.90909090909091,0.0
710,0.9,False,100.0,60.0,17.391304347826086,55.0,78.26086956521739,100.0,100.0,100.0,0,100.0,0.0,100.0,0,25.0,0.0,40.90909090909091,0.1
710,0.9,False,100.0,90.0,34.78260869565217,80.0,78.26086956521739,100.0,100.0,100.0,0,100.0,0.0,100.0,0,25.0,0.0,40.90909090909091,0.3
710,0.9,False,100.0,100.0,56.52173913043478,100.0,82.6086956521739,100.0,100.0,100.0,0,100.0,0.0,5.0,0,25.0,0.0,36.36363636363637,0.6
710,0.9,False,100.0,100.0,86.95652173913044,100.0,91.30434782608695,100.0,100.0,100.0,0,100.0,0.0,0.0,0,25.0,0.0,18.181818181818183,0.9
1825,0.0,True,100.0,0.0,21.73913043478261,100.0,78.26086956521739,0.0,100.0,0.0,0,0.0,100.0,100.0,0,100.0,0.0,100.0,0.0
1825,0.0,True,100.0,0.0,43.47826086956522,100.0,78.26086956521739,0.0,100.0,0.0,0,0.0,100.0,100.0,0,85.0,0.0,100.0,0.1
1825,0.0,True,100.0,0.0,60.869565217391305,100.0,82.6086956521739,0.0,100.0,0.0,0,0.0,100.0,100.0,0,40.0,0.0,90.9090909090909,0.3
1825,0.0,True,100.0,35.0,86.95652173913044,100.0,91.30434782608695,0.0,100.0,0.0,0,0.0,100.0,100.0,0,5.0,0.0,40.90909090909091,0.6
1825,0.0,True,100.0,85.0,100.0,100.0,100.0,0.0,100.0,0.0,0,0.0,86.36363636363636,100.0,0,0.0,0.0,13.636363636363637,0.9
1825,0.0,False,100.0,0.0,21.73913043478261,100.0,78.26086956521739,0.0,100.0,0.0,0,0.0,100.0,100.0,0,100.0,0.0,100.0,0.0
1825,0.0,False,100.0,0.0,43.47826086956522,100.0,78.26086956521739,0.0,100.0,0.0,0,0.0,100.0,100.0,0,85.0,0.0,100.0,0.1
1825,0.0,False,100.0,0.0,60.869565217391305,100.0,82.6086956521739,0.0,100.0,0.0,0,0.0,100.0,100.0,0,40.0,0.0,90.9090909090909,0.3
