index,Date,Open,High,Low,Close,Adj Close,Volume,Date_str,label,residuals,seasonal,trend
480,1952-12-04,25.610001,25.610001,25.610001,25.610001,25.610001,1570000,1952-12-04,standard,1.0107221462130453,1.0027368161419778,3.1998227480147174
481,1952-12-05,25.620001,25.620001,25.620001,25.620001,25.620001,1510000,1952-12-05,standard,1.0107150214752707,1.002750107032677,3.2001880902147817
482,1952-12-08,25.76,25.76,25.76,25.76,25.76,1790000,1952-12-08,standard,1.0120383102302315,1.0030037144913997,3.200564204083688
483,1952-12-09,25.93,25.93,25.93,25.93,25.93,2120000,1952-12-09,standard,1.0138662634464695,1.003100838197396,3.200952088642519
484,1952-12-10,25.98,25.98,25.98,25.98,25.98,1880000,1952-12-10,standard,1.014094806178366,1.003343537899792,3.2013499016667732
485,1952-12-11,25.959999,25.959999,25.959999,25.959999,25.959999,1790000,1952-12-11,standard,1.0134170992373168,1.0036462620235982,3.201767303452286
486,1952-12-12,26.040001,26.040001,26.040001,26.040001,26.040001,2030000,1952-12-12,standard,1.014319772590277,1.0035663276018727,3.2021955326859195
487,1952-12-15,26.040001,26.040001,26.040001,26.040001,26.040001,1940000,1952-12-15,standard,1.0139454071366971,1.0038032805448691,3.202621662498323
488,1952-12-16,26.07,26.07,26.07,26.07,26.07,1980000,1952-12-16,standard,1.0148677090792975,1.0031087508603533,3.2030575469378033
489,1952-12-17,26.040001,26.040001,26.040001,26.040001,26.040001,1700000,1952-12-17,standard,1.016830002767298,1.0006793242894947,3.2035059957556395
490,1952-12-18,26.030001,26.030001,26.030001,26.030001,26.030001,1860000,1952-12-18,standard,1.0158853789777804,1.0013519016512178,3.2039535053225663
491,1952-12-19,26.15,26.15,26.15,26.15,26.15,2050000,1952-12-19,standard,1.0164830656146442,1.0020386068815517,3.204390837357344
492,1952-12-22,26.299999,26.299999,26.299999,26.299999,26.299999,2100000,1952-12-22,standard,1.01894305571131,1.0012411425630838,3.204807091079009
493,1952-12-23,26.190001,26.190001,26.190001,26.190001,26.190001,2100000,1952-12-23,standard,1.0180094328002633,1.0007545053082576,3.2051921173541165
494,1952-12-24,26.209999,26.209999,26.209999,26.209999,26.209999,1510000,1952-12-24,pre_crisis,1.019224568895302,0.9996821175332676,3.2055541614546734
495,1952-12-26,26.25,26.25,26.25,26.25,26.25,1290000,1952-12-26,pre_crisis,1.0198388905456053,0.9994334455764294,3.205916522140186
496,1952-12-29,26.4,26.4,26.4,26.4,26.4,1820000,1952-12-29,pre_crisis,1.022088113019443,0.998856386738064,3.2062908440829654
497,1952-12-30,26.59,26.59,26.59,26.59,26.59,2070000,1952-12-30,pre_crisis,1.0240061071478217,0.9990526040368708,3.2066665378371284
498,1952-12-31,26.57,26.57,26.57,26.57,26.57,2050000,1952-12-31,pre_crisis,1.0232145852271934,0.9994800837319231,3.2070387840342622
499,1953-01-02,26.540001,26.540001,26.540001,26.540001,26.540001,1450000,1953-01-02,pre_crisis,1.0224002023231393,0.999811825897518,3.2074232114265935
500,1953-01-05,26.66,26.66,26.66,26.66,26.66,2130000,1953-01-05,pre_crisis,1.0246453955198456,0.9988724569316602,3.207812592591684
501,1953-01-06,26.48,26.48,26.48,26.48,26.48,2080000,1953-01-06,pre_crisis,1.0223146156904817,0.9989641949425762,3.2081972620187025
502,1953-01-07,26.370001,26.370001,26.370001,26.370001,26.370001,1760000,1953-01-07,pre_crisis,1.020764571860544,0.9990887033074085,3.208586796789521
503,1953-01-08,26.33,26.33,26.33,26.33,26.33,1780000,1953-01-08,pre_crisis,1.0204353238673474,0.9988258581254885,3.208977274319433
504,1953-01-09,26.08,26.08,26.08,26.08,26.08,2080000,1953-01-09,standard,1.0173723933941945,0.9987912085412517,3.20936129394199
505,1953-01-12,25.860001,25.860001,25.860001,25.860001,25.860001,1500000,1953-01-12,standard,1.0147765602663452,0.9986295979649593,3.209732230379313
506,1953-01-13,26.02,26.02,26.02,26.02,26.02,1680000,1953-01-13,standard,1.0165004865412912,0.9987126426148033,3.210098026185055
507,1953-01-14,26.08,26.08,26.08,26.08,26.08,1370000,1953-01-14,standard,1.0167803152884891,0.9990297488846824,3.2104633750121505
508,1953-01-15,26.129999,26.129999,26.129999,26.129999,26.129999,1450000,1953-01-15,standard,1.0169172550283323,0.9993684714247845,3.210827683536103
509,1953-01-16,26.02,26.02,26.02,26.02,26.02,1710000,1953-01-16,standard,1.0156725196360452,0.9991882946799169,3.2111854927348156
510,1953-01-19,26.01,26.01,26.01,26.01,26.01,1360000,1953-01-19,standard,1.0156387465268428,0.9989927115129306,3.2115421261526342
511,1953-01-20,26.139999,26.139999,26.139999,26.139999,26.139999,1490000,1953-01-20,standard,1.0164661797787726,0.9995918608378831,3.211911254190165
512,1953-01-21,26.09,26.09,26.09,26.09,26.09,1300000,1953-01-21,standard,1.0166239275642606,0.998734480709977,3.212284108039596
513,1953-01-22,26.120001,26.120001,26.120001,26.120001,26.120001,1380000,1953-01-22,standard,1.0173397969909919,0.9982681884414968,3.2126547478366665
514,1953-01-23,26.07,26.07,26.07,26.07,26.07,1340000,1953-01-23,standard,1.0163256705950692,0.9985638697960278,3.2130201661951565
515,1953-01-26,26.02,26.02,26.02,26.02,26.02,1420000,1953-01-26,standard,1.0152404460890654,0.9989293896276918,3.2133847702438616
516,1953-01-27,26.049999,26.049999,26.049999,26.049999,26.049999,1550000,1953-01-27,standard,1.0157475817122932,0.9986683416567009,3.2137558652726477
517,1953-01-28,26.129999,26.129999,26.129999,26.129999,26.129999,1640000,1953-01-28,standard,1.015970832070603,0.9992717142022097,3.2141299021087297
518,1953-01-29,26.200001,26.200001,26.200001,26.200001,26.200001,1830000,1953-01-29,standard,1.0172187611853232,0.9987467837655617,3.2145074510436076
519,1953-01-30,26.379999,26.379999,26.379999,26.379999,26.379999,1760000,1953-01-30,standard,1.0184530531847267,0.9995087382499604,3.2148900683643253
520,1953-02-02,26.51,26.51,26.51,26.51,26.51,1890000,1953-02-02,pre_crisis,1.0199215887112723,0.9994492552364145,3.2152747126569685
521,1953-02-03,26.540001,26.540001,26.540001,26.540001,26.540001,1560000,1953-02-03,pre_crisis,1.0202476414370538,0.9993564802311837,3.2156548763474198
522,1953-02-04,26.42,26.42,26.42,26.42,26.42,1660000,1953-02-04,standard,1.0186215077093617,0.9994533333723148,3.216024898490646
523,1953-02-05,26.15,26.15,26.15,26.15,26.15,1900000,1953-02-05,standard,1.015307265019007,0.9994559889989508,3.216391568684879
524,1953-02-06,26.51,26.51,26.51,26.51,26.51,1870000,1953-02-06,pre_crisis,1.019381478688964,0.9995151400693524,3.2167662438808815
525,1953-02-09,25.690001,25.690001,25.690001,25.690001,25.690001,1780000,1953-02-09,standard,1.010758312155143,0.9982594579245618,3.2171505680067054
526,1953-02-10,25.620001,25.620001,25.620001,25.620001,25.620001,1350000,1953-02-10,standard,1.0102038921655683,0.997846405246226,3.2175418721341402
527,1953-02-11,25.639999,25.639999,25.639999,25.639999,25.639999,1240000,1953-02-11,standard,1.0104134727546874,0.997757273834068,3.2179358085207013
528,1953-02-13,25.74,25.74,25.74,25.74,25.74,1350000,1953-02-13,standard,1.0115858709400223,0.9976741109768108,3.2183312389135463
529,1953-02-16,25.65,25.65,25.65,25.65,25.65,1330000,1953-02-16,standard,1.0101750364278423,0.9978658614791456,3.2187319710105124
530,1953-02-17,25.5,25.5,25.5,25.5,25.5,1290000,1953-02-17,standard,1.0076499006254065,0.9984319359963802,3.219138791261257
531,1953-02-18,25.48,25.48,25.48,25.48,25.48,1220000,1953-02-18,standard,1.0070623828401477,0.9986462483474229,3.21954541448891
532,1953-02-19,25.57,25.57,25.57,25.57,25.57,1390000,1953-02-19,standard,1.0079059646842627,0.9987736432149726,3.2199430513278635
533,1953-02-20,25.629999,25.629999,25.629999,25.629999,25.629999,1400000,1953-02-20,standard,1.0084012084949912,0.99888403456327,3.2203327863777265
534,1953-02-24,25.75,25.75,25.75,25.75,25.75,2300000,1953-02-24,standard,1.0089193416147517,0.999689224935622,3.2207177912007383
535,1953-02-25,25.91,25.91,25.91,25.91,25.91,2360000,1953-02-25,standard,1.0101462409163788,1.0002643101841702,3.221087064919641
